Region:Sub Saharan Africa

year,income_per_person
1960,1544
1961,1587
1962,1573
1963,1523
1964,1625
1965,1690
1966,1677
1967,1773
1968,1760
1969,1929
1970,2297
1971,2443
1972,2590
1973,2627
1974,2639
1975,2612
1976,2548
1977,2310
1978,2349
1979,2325
1980,2507
1981,2744
1982,2760
1983,2720
1984,2585
1985,2680
1986,2672
1987,2560
1988,2718
1989,2825
1990,2820
1991,2906
1992,2591
1993,2573
1994,2768
1995,2736
1996,2986
1997,3036
1998,3099
1999,3054
2000,2946
2001,2978
2002,2706
2003,2241
2004,2104
2005,1975
2006,1894
2007,1810
2008,1475
2009,1633
2010,1928
